time,N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs),avg(height),
17.640,1,157,-1.24134,-1.45404,0,1.91185,9340.48,1.21781,0.120727,0,1.22378,6.66674,3.08682,0,1.21781,3.08682,
17.753,1,158,-1.41849,-2.25696,0,2.6657,8693.82,1.0645,-0.102292,0,1.0694,6.79848,3.08949,0,1.0645,3.08949,
17.865,1,159,-1.74306,-0.640437,0,1.857,10790.2,0.889761,-0.267836,0,0.929199,6.9111,3.06708,0,0.889761,3.06708,
17.978,1,160,-2.09531,0.128343,0,2.09923,11602.6,0.663305,-0.267015,0,0.715032,7.00074,3.03578,0,0.663305,3.03578,
18.090,1,161,-1.39229,-1.04137,0,1.73866,9329.97,0.463117,-0.315411,0,0.560323,7.0648,3.00402,0,0.463117,3.00402,
18.202,1,162,-0.855723,-2.02305,0,2.19659,10122.2,1.28956,0.034489,0,1.29002,11.0912,2.96681,0,1.28956,2.96681,
18.315,1,163,-0.599249,-1.28461,0,1.4175,11092.2,1.19074,-0.144122,0,1.19943,11.2333,2.96036,0,1.19074,2.96036,
18.427,1,164,-0.8088,-0.203904,0,0.834107,12261.9,1.09788,-0.218863,0,1.11949,11.3652,2.93864,0,1.09788,2.93864,
18.539,1,165,-3.41653,-1.01366,0,3.56373,12923.4,1.36271,-0.001392,0,1.36271,12.3019,2.9347,0,1.36271,2.9347,
18.652,1,166,-3.03174,-1.79725,0,3.52442,11474.5,0.962517,-0.149074,0,0.973993,12.4363,2.9275,0,0.962517,2.9275,
18.764,1,167,-1.22243,-1.77299,0,2.15357,9713.75,1.27206,0.068547,0,1.27391,13.2648,2.93533,0,1.27206,2.93533,
18.876,1,168,-1.80614,-0.407489,0,1.85154,11136.2,1.29801,0.306807,0,1.33377,14.9072,2.93911,0,1.29801,2.93911,
18.989,1,169,-1.49786,-0.467869,0,1.56923,11443.5,1.09664,0.2612,0,1.12732,15.0449,2.97201,0,1.09664,2.97201,
19.101,1,170,-0.349581,-0.002112,0,0.349587,12870.4,0.988091,0.239065,0,1.0166,15.1633,3.00028,0,0.988091,3.00028,
19.213,1,171,0.447283,-0.054043,0,0.450536,12478.5,0.998846,0.247291,0,1.029,15.2759,3.02811,0,0.998846,3.02811,
19.326,1,172,-0.292271,-1.28025,0,1.31319,9639.36,1.0101,0.180262,0,1.02606,15.3896,3.05366,0,1.0101,3.05366,
19.438,1,173,-0.692669,1.8396,0,1.96568,11925.2,0.623093,1.30807,0,1.44889,18.7189,3.15814,0,0.623093,3.15814,
19.551,1,174,-0.640716,-1.98446,0,2.08533,5027.48,0.561306,1.32255,0,1.43673,18.7859,3.31055,0,0.561306,3.31055,
19.663,1,175,-0.315097,-4.75777,0,4.76819,3269.99,0.518874,0.927787,0,1.06302,18.847,3.44209,0,0.518874,3.44209,
19.775,1,176,0.101526,-3.28234,0,3.28391,7925.68,0.513248,0.462843,0,0.69112,18.9056,3.52134,0,0.513248,3.52134,
19.888,1,177,0.358749,-0.09019,0,0.369912,12529.3,0.550197,0.318457,0,0.635713,18.966,3.56306,0,0.550197,3.56306,
20.000,1,178,-0.775368,-1.43013,0,1.62679,10541.3,0.538061,0.276803,0,0.605086,19.0293,3.59881,0,0.538061,3.59881,
20.112,1,179,-2.30029,-2.57141,0,3.45015,9385.57,0.360186,0.031296,0,0.361543,19.0825,3.61827,0,0.360186,3.61827,
20.225,1,180,-2.05799,-2.22328,0,3.02956,7413.96,-0.182845,-0.14217,0,0.231613,17.6308,3.42508,0,0.182845,3.42508,
20.337,1,181,-2.41762,0.1613,0,2.42299,15896.1,-0.289921,-0.253859,0,0.385355,19.0931,3.58163,0,0.289921,3.58163,
20.449,1,182,-0.603125,0.336116,0,0.690459,15352.7,-0.458508,-0.208753,0,0.503793,19.0487,3.55481,0,0.458508,3.55481,
20.562,1,183,0.52797,-1.79585,0,1.87185,11356.9,-0.449994,-0.287237,0,0.533854,18.9953,3.52895,0,0.449994,3.52895,
